Education Level,Job Title,Years of Experience,Salary
Bachelor,Sales Director,6,75000
PhD,Senior Product Marketing Manager,9,95000
Master,Digital Marketing Manager,3,50000
Bachelor,Senior Product Marketing Manager,6,100000
PhD,Senior Software Engineer,14,170000
Bachelor,Marketing Coordinator,5,90000
High School,Sales Executive,1,35000
Master,Full Stack Engineer,3,100000
Bachelor,Marketing Analyst,4,75000
Master,Product Manager,7,110000
PhD,Senior Human Resources Manager,10,110000
Master,Senior Data Scientist,9,125000
Bachelor,Content Marketing Manager,11,110000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Junior Web Developer,3,50000
Master,Software Engineer Manager,13,170000
PhD,Data Scientist,7,185000
Bachelor,Software Engineer,5,75000
Bachelor,Back end Developer,1,55000
Bachelor,Data Analyst,3,130000
Master,Senior Human Resources Manager,4,70000
Master,Human Resources Manager,11,120000
High School,Junior Sales Associate,1,26000
Master,Product Manager,7,110000
Bachelor,Full Stack Engineer,5,100000
Bachelor,Data Analyst,2,110000
PhD,Data Scientist,18,183000
Master,Data Scientist,3,180000
Bachelor,Data Analyst,1,90000
Bachelor,Marketing Manager,2,55000
PhD,Data Scientist,19,190000
Master,Senior Human Resources Manager,13,120000
High School,Juniour HR Coordinator,1,32000
PhD,Data Scientist,14,140000
PhD,Software Engineer Manager,30,183138
Bachelor,Financial Manager,4,55000
PhD,Software Engineer Manager,16,190000
PhD,Research Scientist,8,120000
Bachelor,Marketing Coordinator,5,95000
Master,Marketing Manager,14,170000
Bachelor,Financial Manager,16,200000
Master,Marketing Director,14,195000
Master,Product Manager,7,110000
Master,Product Manager,14,180000
Master,Director of Marketing,21,180000
Bachelor,Full Stack Engineer,4,73895
Bachelor,Sales Associate,1,35000
Master,Marketing Manager,20,204000
Bachelor,Data Analyst,5,160000
Master,Full Stack Engineer,9,136986
PhD,Director of HR,13,135000
Bachelor,Marketing Analyst,2,50000
Master,Marketing Director,14,190000
Bachelor,Graphic Designer,3,50000
Bachelor,Human Resources Manager,8,95000
Master,Director of HR,12,120000
PhD,Senior Project Engineer,19,200000
Bachelor,Front end Developer,2,70000
Master,Marketing Manager,7,110000
Bachelor,Marketing Manager,3,65000
Master,Human Resources Manager,14,146000
Master,Software Engineer,2,60000
PhD,Director of Marketing,12,170000
Master,Data Scientist,15,198000
Master,Product Manager,14,180000
PhD,Senior Project Engineer,16,185000
Bachelor,Content Marketing Manager,7,90000
PhD,Director of Marketing,6,105000
Bachelor,Marketing Coordinator,5,90000
High School,Back end Developer,4,80247
Bachelor,Data Analyst,3,130000
Master,Director of Marketing,10,100000
Master,Junior HR Generalist,1,32000
Bachelor,Senior Marketing Analyst,8,85000
Bachelor,Sales Representative,1,35000
High School,Juniour HR Generalist,2,43000
Bachelor,Product Designer,2,55000
Bachelor,Software Developer,2,60000
PhD,Senior Data Scientist,12,170000
Bachelor,Back end Developer,3,80000
PhD,Director of HR,16,140000
Bachelor,Data Analyst,2,110000
Bachelor,Data Analyst,7,142000
Bachelor,Marketing Analyst,3,60000
Bachelor,Front End Developer,4,80000
Bachelor,Data Analyst,9,190000
Master,Data Analyst,8,100000
PhD,Senior Project Engineer,13,185000
Master,Marketing Manager,9,130000
High School,Junior Sales Associate,1,25000
PhD,Senior Software Engineer,12,160000
Master,Senior Software Engineer,18,180000
Bachelor,Senior Product Manager,14,150000
Bachelor,Operations Manager,5,70000
PhD,Data Scientist,17,168000
Bachelor,Software Engineer,6,170000
Master,Director of HR,13,135000
Master,Financial Manager,7,120000
PhD,Sales Director,10,155000
Bachelor,Data Analyst,3,120000
PhD,Senior Product Marketing Manager,17,170000
Bachelor,Full Stack Engineer,4,90000
Bachelor,Software Engineer,4,75000
Master,Senior Software Engineer,8,105000
Master,Marketing Manager,7,110000
Bachelor,Marketing Analyst,0,40000
Bachelor,Software Engineer,3,80000
High School,Sales Associate,0,25000
Master,Web Developer,7,85000
PhD,Senior Research Scientist,13,145000
Bachelor,Software Engineer,3,85000
PhD,Senior Project Engineer,16,185000
Master,Marketing Coordinator,11,120000
Bachelor,Junior Marketing Manager,4,57000
High School,Sales Associate,0,25000
Master,Financial Manager,8,120000
Bachelor,Product Manager,7,120000
High School,Junior Sales Representative,0,25000
PhD,Marketing Manager,4,55000
PhD,Director of Marketing,12,170000
PhD,Director of HR,13,135000
Master,Marketing Manager,9,135000
PhD,Director of Marketing,20,200000
Bachelor,Marketing Coordinator,5,85000
PhD,Data Scientist,2,115000
PhD,Data Scientist,8,140000
PhD,Research Scientist,13,185000
PhD,Data Scientist,7,185000
Bachelor,Product Designer,2,55000
Bachelor,Senior Product Marketing Manager,5,85000
High School,Junior Sales Associate,1,26000
Bachelor,Web Developer,5,70000
Bachelor,Senior Sales Manager,16,130000
Master,Senior Software Engineer,7,140000
Master,Senior Human Resources Manager,6,80000
Master,Data Scientist,9,140000
PhD,Director of Marketing,6,105000
Bachelor,Marketing Coordinator,3,55000
Master,Marketing Manager,10,110000
PhD,Senior Project Engineer,15,180000
Bachelor,Marketing Analyst,4,70000
Bachelor,Back end Developer,18,155795
Master,Full Stack Engineer,11,138859
Master,Senior Software Engineer,8,155000
PhD,Senior Software Engineer,14,170000
Master,Web Developer,5,70000
Master,Junior HR Generalist,1,32000
Bachelor,Senior Software Engineer,6,104378
PhD,Senior Project Engineer,17,195000
Master,Human Resources Coordinator,3,50000
Master,Product Manager,7,110000
Bachelor,Software Engineer,1,50000
Bachelor,Junior Web Developer,3,50000
PhD,Senior Product Marketing Manager,5,70000
PhD,Director of Marketing,6,105000
High School,Junior HR Generalist,1,32000
PhD,Data Scientist,7,185000
Master,Full Stack Engineer,8,122970
Bachelor,Financial Manager,16,200000
Master,Senior HR Generalist,9,95000
Master,Marketing Manager,10,110000
PhD,Software Engineer Manager,15,145052
PhD,Research Director,11,160000
Bachelor,Operations Manager,8,104000
Master,Web Developer,4,65000
Bachelor,Software Engineer,4,75000
Master,Data Scientist,6,180000
Bachelor,Front end Developer,2,70000
Master,Product Manager,11,195000
Master,Data Scientist,9,140000
Bachelor,Financial Manager,13,130000
PhD,Senior Project Engineer,16,185000
Bachelor,Product Manager,1,60000
Master,Senior Software Engineer,15,134641
Bachelor,Senior Financial Manager,8,90000
Bachelor,Software Developer,2,60000
Master,Director of Engineering,19,180000
Bachelor,Software Engineer,4,140000
Master,Senior Software Engineer,8,105000
Master,Data Scientist,9,140000
Bachelor,Marketing Coordinator,5,85000
PhD,Senior Product Marketing Manager,9,95000
Bachelor,Software Engineer,5,90000
Bachelor,Operations Manager,6,90000
Bachelor,Software Engineer Manager,8,135000
PhD,Software Engineer Manager,14,190000
Bachelor,Software Engineer,4,140000
Bachelor,Sales Manager,5,70000
Master,Data Scientist,9,140000
Bachelor,Business Analyst,7,75000
Master,Human Resources Manager,14,146000
Bachelor,Operations Manager,6,75000
Master,Full Stack Engineer,9,135596
Bachelor,Software Engineer,1,50000
Bachelor,Product Manager,1,55000
PhD,Research Scientist,12,170000
PhD,Director of Data Science,16,200000
PhD,Marketing Manager,4,55000
PhD,Software Engineer Manager,0,52779
Bachelor,Marketing Analyst,3,65000
Bachelor,Senior Project Engineer,0,52831
PhD,Senior Project Engineer,15,180000
Bachelor,Junior HR Coordinator,2,38000
Bachelor,Full Stack Engineer,6,115000
Master,Senior Software Engineer,6,113065
Master,Full Stack Engineer,6,115000
Bachelor,Graphic Designer,2,50000
Master,Data Scientist,9,140000
Bachelor,Software Engineer,13,197000
Bachelor,Back end Developer,12,132442
Bachelor,Product Manager,12,190000
PhD,Software Engineer Manager,31,191818
Master,Software Engineer Manager,14,180000
PhD,Data Scientist,8,190000
Bachelor,Data Analyst,9,195000
PhD,Senior Project Engineer,16,190000
PhD,Data Scientist,2,115000
PhD,Software Engineer Manager,16,185000
Bachelor,Marketing Analyst,4,75000
PhD,Senior Project Engineer,16,195000
Bachelor,Back end Developer,24,178284
Bachelor,Content Marketing Manager,12,120000
Bachelor,Back end Developer,5,100000
Master,Full Stack Engineer,13,144647
PhD,Data Scientist,15,150000
Bachelor,Front end Developer,2,65000
Master,Human Resources Coordinator,3,50000
Bachelor,Digital Marketing Manager,6,95000
Bachelor,Front end Developer,2,65000
PhD,Data Scientist,15,150000
Master,Digital Marketing Manager,14,140000
PhD,Software Engineer Manager,15,145052
Master,Senior Software Engineer,12,170000
Bachelor,Back end Developer,6,95000
Bachelor,Data Analyst,11,160000
Master,Data Scientist,6,150000
Master,Front end Developer,5,105000
Bachelor,Junior Software Engineer,1,45000
Bachelor,Junior Software Engineer,1,55000
PhD,Data Scientist,15,150000
Bachelor,Web Developer,1,40000
Master,Senior Data Scientist,8,120000
PhD,Software Engineer Manager,17,190000
Master,Software Engineer Manager,12,160000
Master,Data Analyst,8,100000
Master,Senior Software Engineer,13,134858
Master,Back end Developer,7,120000
Bachelor,Data Analyst,2,95000
Bachelor,Content Marketing Manager,13,130000
High School,Junior Sales Associate,1,26000
Master,Back end Developer,8,111535
Master,Senior Software Engineer,6,100000
Master,Senior Project Engineer,4,92438
PhD,Senior Research Scientist,11,135000
Master,Back end Developer,6,130000
Bachelor,Software Engineer,3,80000
Bachelor,Data Analyst,9,195000
Master,Human Resources Manager,11,120000
Bachelor,Junior Software Engineer,1,55000
PhD,Senior Product Marketing Manager,9,95000
Master,Software Engineer Manager,9,146075
Master,Senior Human Resources Manager,11,110000
PhD,Research Director,11,160000
Master,Senior Software Engineer,26,184816
Bachelor,Sales Director,6,75000
Master,Full Stack Engineer,22,179045
High School,Receptionist,0,25000
Master,Senior Human Resources Manager,9,105000
Master,Product Manager,2,120000
Bachelor,Back end Developer,3,80000
Bachelor,Software Developer,3,61000
Bachelor,Marketing Analyst,3,60000
Bachelor,Financial Manager,16,200000
High School,Junior Sales Associate,1,25000
PhD,Software Engineer Manager,17,195000
Bachelor,Data Scientist,9,185000
Bachelor,Software Engineer,4,65000
Master,Senior Human Resources Manager,4,70000
Bachelor,Director of Marketing,8,80000
Bachelor,Back end Developer,2,64182
PhD,Senior Project Engineer,17,195000
PhD,Director of Marketing,20,200000
Bachelor,Product Manager,1,60000
Master,Front end Developer,5,78354
Master,Back end Developer,2,70000
Bachelor,Senior Project Manager,12,130000
Master,Senior Software Engineer,8,140000
PhD,Data Scientist,16,160000
Bachelor,Marketing Coordinator,5,95000
Bachelor,Front end Developer,4,90000
Master,Software Engineer Manager,13,170000
Master,Front end Developer,1,55000
PhD,Senior Data Scientist,18,160000
High School,Delivery Driver,0,28000
Bachelor,Back end Developer,5,100000
PhD,Senior Research Scientist,13,145000
PhD,Data Scientist,7,185000
Bachelor,Software Developer,3,60000
Bachelor,Front end Developer,4,90000
Bachelor,Human Resources Manager,9,99000
Master,Front end Developer,5,105000
PhD,Software Engineer Manager,16,185000
Master,Senior Software Engineer,8,140000
PhD,Data Scientist,15,157000
PhD,Senior Research Scientist,10,130000
Bachelor,Product Manager,1,60000
PhD,Senior Research Scientist,12,140000
PhD,Data Scientist,23,225000
Master,Director of HR,9,95000
Bachelor,Senior Marketing Manager,11,105000
PhD,Data Scientist,7,185000
Bachelor,Product Manager,7,120000
Bachelor,Data Analyst,7,130000
Bachelor,Marketing Coordinator,5,85000
Bachelor,Software Engineer,3,80000
PhD,Financial Manager,6,75000
Master,Software Engineer,2,60000
Bachelor,Software Engineer,8,190000
Master,Human Resources Manager,15,152000
Bachelor,Product Manager,7,120000
Bachelor,Marketing Manager,3,65000
High School,Senior Software Engineer,29,158254
Bachelor,Senior Project Engineer,6,88552
PhD,Principal Engineer,20,170000
Master,Product Manager,12,196000
Bachelor,Sales Associate,7,60000
Master,Marketing Coordinator,12,122000
Master,Product Manager,3,130000
Bachelor,Marketing Analyst,2,55000
Master,Marketing Manager,14,170000
Bachelor,Software Engineer,4,140000
Master,Full Stack Engineer,9,136533
Master,Marketing Coordinator,13,131000
Bachelor,Software Engineer,8,180000
Bachelor,Senior Software Engineer,7,107718
PhD,Senior Data Analyst,19,150000
Bachelor,Product Designer,2,55000
Bachelor,Data Analyst,5,125000
Bachelor,Senior Project Engineer,3,70397
High School,Junior Sales Associate,2,35000
Master,Front end Developer,5,76742
High School,Junior HR Generalist,1,32000
Bachelor,Junior Web Developer,1,40000
Bachelor,Senior Project Engineer,6,88035
Bachelor,Product Manager,5,80000
Master,Senior Software Engineer,8,140000
Master,Director of Marketing,16,160000
Bachelor,Software Engineer,4,75000
Bachelor,Software Engineer,1,50000
Master,Marketing Director,14,190000
Master,Full Stack Engineer,6,130000
Master,Senior HR Generalist,8,95000
Master,Human Resources Coordinator,3,50000
High School,Receptionist,0,25000
PhD,Senior Data Scientist,12,170000
Master,Software Engineer Manager,12,160000
Master,Junior HR Generalist,1,32000
Master,Back end Developer,3,90000
Bachelor,Graphic Designer,2,50000
Master,Data Analyst,9,120000
PhD,Data Scientist,8,140000
PhD,Research Scientist,13,185000
High School,Senior Project Engineer,11,103947
High School,Junior Sales Associate,1,25000
Bachelor,Junior Marketing Manager,3,55000
Master,Back end Developer,2,70000
Master,Marketing Manager,11,117000
Bachelor,Back end Developer,5,100000
Bachelor,Software Engineer,8,180000
PhD,Research Director,12,170000
Bachelor,Senior Operations Analyst,8,85000
Bachelor,IT Manager,19,120000
Master,Full Stack Engineer,7,140000
Master,Product Manager,7,110000
PhD,Director of HR,11,115000
Bachelor,Marketing Coordinator,3,55000
Bachelor,Junior Accountant,2,40000
Bachelor,Marketing Coordinator,4,65000
PhD,Software Engineer Manager,18,195000
Bachelor,Back end Developer,3,80000
Bachelor,Marketing Analyst,3,65000
PhD,Research Scientist,12,170000
Bachelor,Full Stack Engineer,6,115000
Master,Junior Web Developer,2,48000
Bachelor,Junior Sales Representative,3,40000
Bachelor,Full Stack Engineer,19,152726
Bachelor,Marketing Analyst,3,60000
Bachelor,Software Developer,2,60000
High School,Receptionist,0,25000
High School,Senior Software Engineer,29,158966
Bachelor,Data Analyst,1,90000
Master,Senior Software Engineer,10,155000
Bachelor,Financial Analyst,4,80000
Master,Senior Software Engineer,18,180000
PhD,Director of Marketing,12,170000
Bachelor,Digital Marketing Specialist,4,65000
Master,Junior HR Generalist,2,42000
Bachelor,Junior Financial Analyst,3,50000
PhD,Director of Data Science,16,200000
Master,Software Engineer Manager,13,170000
PhD,Data Scientist,15,150000
Master,Junior HR Generalist,2,42000
PhD,Data Scientist,7,185000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Sales Manager,9,95000
Bachelor,Data Analyst,3,130000
Bachelor,Junior Marketing Manager,5,70000
Master,Data Analyst,8,100000
PhD,Senior Project Engineer,14,185000
Bachelor,Junior Software Engineer,1,45000
PhD,Senior Project Engineer,19,200000
Bachelor,Marketing Manager,9,130000
PhD,Research Director,10,150000
Bachelor,Software Engineer,1,52000
Bachelor,Human Resources Manager,6,75000
PhD,Data Scientist,16,162000
PhD,Software Engineer Manager,0,52779
Master,Human Resources Coordinator,3,49000
Master,Financial Manager,7,120000
Bachelor,Software Engineer,1,50000
Bachelor,Software Engineer,5,90000
Bachelor,Marketing Manager,7,110000
Bachelor,Front End Developer,4,80000
Master,Senior Software Engineer,11,160000
Master,Financial Manager,7,120000
Master,Front end Developer,5,105000
Bachelor,Marketing Analyst,4,70000
PhD,Software Engineer Manager,28,182013
PhD,Software Engineer Manager,33,179180
Master,Product Manager,11,198000
Bachelor,Marketing Analyst,4,70000
Master,Human Resources Manager,12,130000
Bachelor,Product Manager,7,120000
PhD,Senior Research Scientist,10,130000
Bachelor,Marketing Coordinator,5,85000
Bachelor,Product Designer,1,50000
Master,Full Stack Engineer,4,82697
Bachelor,Operations Manager,7,96000
PhD,Senior Project Engineer,19,200000
Master,Product Manager,11,198000
PhD,Data Scientist,16,162000
Bachelor,Data Analyst,9,195000
PhD,Data Scientist,8,140000
PhD,Senior Project Engineer,15,180000
Master,Product Manager,7,110000
Master,Director of Marketing,19,170000
PhD,Senior Project Engineer,14,180000
PhD,Software Engineer Manager,0,52612
PhD,Data Scientist,18,183000
Bachelor,Software Engineer,4,140000
Bachelor,Financial Manager,4,55000
Bachelor,Software Engineer,8,190000
Bachelor,Front end Developer,4,90000
High School,Junior Sales Associate,1,25000
PhD,Data Scientist,16,160000
Bachelor,Human Resources Coordinator,2,47000
PhD,Data Scientist,18,180000
Master,Marketing Manager,12,125000
PhD,Research Scientist,12,160000
Bachelor,Back end Developer,2,63901
Bachelor,Junior Software Developer,2,36000
Bachelor,Senior Project Engineer,0,52831
Master,Senior HR Generalist,10,105000
Master,Software Engineer Manager,16,150301
PhD,Research Director,11,160000
Master,Web Developer,7,85000
Bachelor,Junior Marketing Manager,4,50000
PhD,Sales Director,10,155000
Master,Software Engineer Manager,12,160000
Bachelor,Front end Developer,4,90000
PhD,Director of Data Science,16,200000
Bachelor,Junior Marketing Manager,6,72000
Bachelor,Junior Data Analyst,2,50000
Bachelor,Digital Marketing Manager,6,95000
Bachelor,Product Manager,7,120000
PhD,Data Scientist,18,180000
High School,Junior Sales Associate,1,26000
PhD,Senior Project Engineer,13,185000
Master,Back end Developer,8,140000
PhD,Director of HR,8,95000
Master,Senior Project Engineer,9,126753
PhD,Senior Project Engineer,12,165000
Bachelor,Front end Developer,2,70000
Bachelor,Sales Representative,7,90000
Bachelor,Software Engineer Manager,8,135000
Bachelor,Web Developer,7,85000
Master,Front end Developer,5,105000
Bachelor,Junior Marketing Manager,5,70000
Bachelor,Operations Manager,6,75000
Bachelor,Front end Developer,3,80000
Master,Data Analyst,9,120000
Bachelor,Software Developer,2,55000
Master,Full Stack Engineer,14,163978
PhD,Senior Research Scientist,10,130000
Master,Back end Developer,9,150000
Bachelor,Junior Data Analyst,3,52000
Master,Senior Project Engineer,10,113334
Master,Data Analyst,1,100000
Bachelor,Senior Financial Analyst,9,100000
Bachelor,Data Analyst,2,100000
Bachelor,Full Stack Engineer,7,130000
Bachelor,Junior Software Developer,2,36000
High School,Junior Sales Associate,1,25000
Bachelor,Software Engineer,8,190000
PhD,Senior Project Engineer,17,195000
High School,Juniour HR Coordinator,1,32000
Bachelor,Software Engineer,4,140000
Bachelor,Junior Marketing Coordinator,2,40000
PhD,Software Engineer Manager,17,195000
High School,Junior HR Coordinator,1,30000
Master,Full Stack Engineer,6,115000
PhD,Software Engineer Manager,14,190000
Bachelor,Product Manager,1,60000
Bachelor,Content Marketing Manager,12,120000
High School,Junior HR Generalist,2,40000
PhD,Data Scientist,8,140000
Bachelor,Software Engineer,5,160000
Bachelor,Marketing Analyst,4,70000
Master,Marketing Manager,9,135000
Bachelor,Software Engineer Manager,8,135000
Master,Financial Manager,8,120000
PhD,Data Scientist,23,225000
Bachelor,Junior Marketing Manager,4,57000
PhD,Director of Data Science,18,210000
Bachelor,Financial Manager,16,215000
PhD,Software Engineer Manager,17,195000
Bachelor,Full Stack Engineer,8,145000
Master,Data Analyst,9,120000
PhD,Software Engineer Manager,16,185000
Bachelor,Junior HR Coordinator,1,32000
Master,Senior Human Resources Manager,13,125000
PhD,Data Scientist,2,115000
Bachelor,Data Analyst,5,145000
PhD,Data Scientist,7,110000
PhD,Senior Project Engineer,14,190000
PhD,Senior Project Engineer,16,190000
Master,Software Engineer,2,75000
Bachelor,Marketing Analyst,4,70000
Bachelor,Junior Marketing Manager,6,72000
High School,Junior Sales Associate,2,30000
High School,Sales Associate,0,25000
PhD,Data Scientist,16,162000
Master,Financial Manager,7,120000
PhD,Data Scientist,5,100000
Bachelor,Junior Financial Analyst,2,40000
Master,Software Engineer Manager,11,170000
Master,Data Analyst,6,90000
Bachelor,Junior Software Developer,2,37000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Software Engineer,3,80000
Bachelor,Project Manager,10,130000
Bachelor,Sales Manager,11,160000
Bachelor,Software Engineer,5,160000
Master,Software Engineer Manager,9,146075
PhD,Senior Scientist,10,110000
Master,Full Stack Engineer,6,115000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Junior Marketing Manager,6,72000
Master,Senior Financial Advisor,6,100000
Bachelor,Product Designer,2,55000
PhD,Data Scientist,18,183000
Bachelor,Marketing Analyst,3,70000
Master,Senior Software Engineer,10,155000
Master,Full Stack Engineer,4,91397
Bachelor,Data Analyst,3,130000
Bachelor,Marketing Coordinator,5,95000
Bachelor,Senior Software Engineer,18,148446
Bachelor,Digital Marketing Manager,6,95000
Master,Financial Manager,8,120000
Master,Human Resources Manager,11,120000
PhD,Senior Research Scientist,13,145000
Master,Marketing Manager,4,62000
Master,Marketing Manager,7,110000
Master,Senior Project Engineer,4,92438
Bachelor,Data Analyst,2,110000
Master,Software Engineer,2,60000
Bachelor,Software Engineer,3,70000
Bachelor,Marketing Coordinator,5,95000
Master,Marketing Manager,14,170000
PhD,Product Manager,14,195000
Bachelor,Digital Marketing Specialist,3,60000
Master,Marketing Manager,20,204000
Bachelor,Software Engineer,5,160000
PhD,Software Engineer Manager,21,174821
Master,Director of Operations,19,170000
Bachelor,Digital Marketing Manager,6,95000
Master,Full Stack Engineer,5,102828
Master,Senior Software Engineer,18,152168
Bachelor,Front end Developer,1,60000
Bachelor,Social Media Manager,3,55000
Bachelor,Software Engineer,4,140000
Master,Product Manager,14,180000
Bachelor,Software Engineer,3,70000
PhD,Data Scientist,15,150000
Master,Senior Software Engineer,9,145000
PhD,Director of HR,14,140000
High School,Receptionist,0,25000
PhD,Research Director,11,160000
Bachelor,Marketing Analyst,4,70000
Bachelor,Software Engineer,5,90000
PhD,Software Engineer Manager,19,200000
PhD,Senior Human Resources Manager,15,150000
PhD,Research Director,11,160000
Master,Marketing Manager,9,130000
PhD,Software Engineer Manager,15,185000
Bachelor,Product Manager,1,60000
Master,Financial Manager,8,120000
Bachelor,Sales Representative,1,35000
Bachelor,Human Resources Manager,8,92000
Master,Software Engineer,2,60000
Master,Full Stack Engineer,14,163978
High School,Junior Sales Associate,1,26000
PhD,Research Director,11,160000
PhD,Director of Marketing,6,105000
Master,Software Engineer Manager,12,160000
Master,Sales Manager,8,80000
Bachelor,Financial Manager,4,55000
Master,Front end Developer,5,105000
PhD,Senior Research Scientist,22,160000
Bachelor,Project Manager,10,130000
Bachelor,Marketing Manager,3,65000
Bachelor,Data Analyst,1,90000
Master,Product Manager,11,198000
Master,Marketing Manager,9,135000
PhD,Senior Software Engineer,12,160000
Master,Back end Developer,3,90000
Bachelor,Data Analyst,3,130000
Master,Marketing Manager,12,125000
Bachelor,Software Engineer Manager,8,135000
Master,Full Stack Engineer,13,147326
Master,Software Engineer Manager,12,160000
PhD,Senior Software Engineer,14,170000
Bachelor,Data Analyst,3,130000
Bachelor,Senior Product Marketing Manager,5,85000
Bachelor,Software Engineer,6,155000
Bachelor,Software Engineer,3,80000
Bachelor,Product Designer,2,55000
Bachelor,Junior Software Developer,1,35000
Master,Marketing Manager,9,135000
Bachelor,Junior Marketing Manager,4,57000
Bachelor,Junior Marketing Manager,3,55000
Bachelor,Human Resources Manager,8,92000
High School,Junior HR Coordinator,3,38000
Bachelor,Software Developer,5,80000
Master,Senior Human Resources Manager,6,80000
High School,Sales Associate,3,50000
Master,Product Manager,11,198000
Bachelor,Operations Manager,7,96000
PhD,Software Engineer Manager,16,185000
Bachelor,Financial Analyst,1,55000
Master,Full Stack Engineer,24,192756
PhD,Senior Project Engineer,15,180000
Master,Senior HR Generalist,8,95000
Master,Product Manager,7,120000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Data Analyst,6,120000
Master,Full Stack Engineer,8,140000
PhD,Data Scientist,18,182000
Bachelor,Software Engineer,5,160000
Bachelor,Back end Developer,3,85000
Master,Product Manager,3,130000
PhD,Research Scientist,13,185000
PhD,Software Engineer Manager,14,190000
Master,Full Stack Engineer,7,140000
Bachelor,Marketing Analyst,3,60000
Bachelor,Human Resources Manager,6,75000
Master,Senior Software Engineer,21,185119
PhD,Research Scientist,12,160000
Master,Data Analyst,9,120000
Master,Senior Software Engineer,8,140000
Master,Senior Software Engineer,12,170000
Master,Data Analyst,8,100000
PhD,Software Engineer Manager,22,178684
Bachelor,Software Engineer,3,80000
Bachelor,Software Engineer,8,180000
High School,Delivery Driver,0,28000
Bachelor,Junior Software Engineer,1,55000
Master,Back end Developer,2,70000
Master,Software Engineer,2,60000
PhD,Senior Data Scientist,12,170000
Master,Full Stack Engineer,9,130275
Bachelor,Software Engineer,11,185000
High School,Junior Sales Associate,2,31000
Master,Marketing Manager,12,125000
Bachelor,Data Analyst,1,90000
High School,Digital Marketing Manager,2,40000
Bachelor,Software Engineer,9,180000
Bachelor,Financial Manager,16,215000
Bachelor,Software Developer,2,60000
Master,Senior Project Engineer,5,101733
Master,Senior Software Engineer,19,185000
High School,Receptionist,0,25000
Master,Front end Developer,5,105000
Master,Data Scientist,6,150000
Master,Full Stack Engineer,21,187951
PhD,Product Manager,14,195000
Master,Data Scientist,9,140000
Master,Marketing Manager,9,100000
Bachelor,Product Manager,7,120000
High School,Back end Developer,4,80247
Master,Human Resources Manager,8,92000
Bachelor,Software Developer,1,50000
High School,Sales Associate,1,30000
Bachelor,Senior Sales Manager,20,135000
Bachelor,Content Marketing Manager,7,90000
PhD,Director of HR,11,115000
Bachelor,Sales Manager,11,160000
Bachelor,Back end Developer,10,126520
Bachelor,Product Manager,4,150000
Master,Software Engineer Manager,12,160000
PhD,Software Engineer Manager,19,172955
Master,Marketing Manager,12,125000
Bachelor,Operations Manager,7,96000
Bachelor,Data Analyst,2,110000
Bachelor,Software Engineer,3,80000
Bachelor,Sales Representative,6,75000
Bachelor,Software Engineer,1,52000
Bachelor,Front end Developer,2,70000
Bachelor,Marketing Coordinator,5,95000
Master,Marketing Director,14,190000
Master,Data Scientist,6,175000
Master,Human Resources Coordinator,3,50000
Bachelor,Product Designer,3,60000
Bachelor,Product Designer,2,55000
Bachelor,Digital Marketing Manager,6,95000
Master,Full Stack Engineer,11,151078
Master,Data Analyst,8,100000
PhD,Data Scientist,8,140000
Bachelor,Operations Manager,8,90000
Bachelor,Junior Web Developer,1,40000
Bachelor,Operations Manager,6,75000
High School,Junior Sales Associate,1,25000
Bachelor,Marketing Analyst,4,75000
Bachelor,Full Stack Engineer,4,90000
Bachelor,Product Designer,2,55000
PhD,Director of Marketing,12,170000
Master,Senior Project Engineer,6,125000
Bachelor,Human Resources Manager,8,95000
Master,Data Scientist,6,150000
Bachelor,Senior Project Engineer,28,192292
Master,Full Stack Engineer,9,132638
Bachelor,Back end Developer,4,82683
PhD,Data Scientist,8,140000
PhD,Director of HR,14,140000
Master,Data Scientist,4,150000
Master,Full Stack Engineer,15,171652
PhD,Director of Data Science,18,210000
Bachelor,Data Analyst,3,130000
Bachelor,Software Engineer,3,125000
PhD,Director of Data Science,12,170000
Master,Senior Software Engineer,10,155000
Bachelor,Software Engineer,3,80000
Bachelor,Software Engineer,5,165000
Master,Software Engineer,2,60000
Bachelor,Junior Software Developer,1,35000
Bachelor,Software Engineer,4,140000
Bachelor,Junior Marketing Analyst,0,35000
Bachelor,Product Manager,7,170000
Master,Full Stack Engineer,5,102828
PhD,Software Engineer Manager,17,195000
Bachelor,Sales Executive,1,35000
Master,Marketing Coordinator,12,122000
Master,Software Engineer Manager,19,163780
Bachelor,Product Manager,1,60000
Bachelor,Software Engineer Manager,8,135000
Bachelor,Software Engineer,4,140000
Master,Full Stack Engineer,11,137775
Bachelor,Human Resources Manager,6,75000
Master,Data Analyst,8,100000
Bachelor,Financial Manager,16,200000
Master,Human Resources Coordinator,2,45000
Bachelor,Front end Developer,23,173851
Bachelor,Operations Manager,11,119000
Bachelor,Software Engineer,4,160000
PhD,Data Scientist,19,190000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Product Designer,2,50000
PhD,Research Director,11,160000
PhD,Research Scientist,12,170000
Master,Senior HR Generalist,10,105000
Bachelor,Software Developer,2,60000
PhD,Sales Director,10,155000
High School,Junior Sales Associate,2,30000
